"","guess1","guess2","guess3","truth1","truth2","truth3","code1","code2","code3","code4","code5","code6","game","id"
"2726",5,6,3,6,6,3,4,1,21,1,1,4,12,1
"2727",6,6,3,6,6,3,4,1,21,1,1,4,12,1
"2728",1,2,3,6,3,6,1,4,4,1,1,21,13,1
"2729",2,1,3,6,3,6,1,4,4,1,1,21,13,1
"2730",3,2,1,6,3,6,1,4,4,1,1,21,13,1
"2731",1,3,2,6,3,6,1,4,4,1,1,21,13,1
"2732",1,2,3,6,3,6,1,4,4,1,1,21,13,1
"2733",1,1,2,6,3,6,1,4,4,1,1,21,13,1
"2734",1,1,3,6,3,6,1,4,4,1,1,21,13,1
"2735",1,3,1,6,3,6,1,4,4,1,1,21,13,1
"2736",4,3,4,6,3,6,1,4,4,1,1,21,13,1
"2737",5,3,5,6,3,6,1,4,4,1,1,21,13,1
"2738",6,3,6,6,3,6,1,4,4,1,1,21,13,1
"2739",1,2,3,5,2,5,1,1,1,1,27,1,14,1
"2740",1,3,2,5,2,5,1,1,1,1,27,1,14,1
"2741",1,2,1,5,2,5,1,1,1,1,27,1,14,1
"2742",2,2,4,5,2,5,1,1,1,1,27,1,14,1
"2743",3,2,5,5,2,5,1,1,1,1,27,1,14,1
"2744",4,2,5,5,2,5,1,1,1,1,27,1,14,1
"2745",5,2,5,5,2,5,1,1,1,1,27,1,14,1
"2746",1,2,3,3,1,3,6,6,5,5,5,5,15,1
"2747",1,3,1,3,1,3,6,6,5,5,5,5,15,1
"2748",2,2,1,3,1,3,6,6,5,5,5,5,15,1
"2749",1,1,3,3,1,3,6,6,5,5,5,5,15,1
"2750",3,1,3,3,1,3,6,6,5,5,5,5,15,1
"2751",1,2,3,1,1,2,5,5,6,5,6,5,16,1
"2752",1,1,3,1,1,2,5,5,6,5,6,5,16,1
"2753",1,3,3,1,1,2,5,5,6,5,6,5,16,1
"2754",1,1,2,1,1,2,5,5,6,5,6,5,16,1
"2755",1,2,3,4,4,4,1,1,1,27,1,1,17,1
"2756",2,3,4,4,4,4,1,1,1,27,1,1,17,1
"2757",2,4,5,4,4,4,1,1,1,27,1,1,17,1
"2758",2,1,2,4,4,4,1,1,1,27,1,1,17,1
"2759",1,4,4,4,4,4,1,1,1,27,1,1,17,1
"2760",3,4,4,4,4,4,1,1,1,27,1,1,17,1
"2761",4,4,4,4,4,4,1,1,1,27,1,1,17,1
"2762",1,2,3,2,2,1,4,21,1,1,4,1,18,1
"2763",1,3,1,2,2,1,4,21,1,1,4,1,18,1
"2764",1,1,2,2,2,1,4,21,1,1,4,1,18,1
"2765",1,1,3,2,2,1,4,21,1,1,4,1,18,1
"2766",1,2,1,2,2,1,4,21,1,1,4,1,18,1
"2767",1,4,1,2,2,1,4,21,1,1,4,1,18,1
"2768",2,2,3,2,2,1,4,21,1,1,4,1,18,1
"2769",3,2,3,2,2,1,4,21,1,1,4,1,18,1
"2770",2,2,1,2,2,1,4,21,1,1,4,1,18,1
"1655",1,1,1,6,6,3,1,1,1,1,1,27,1,2
"1656",2,2,2,6,6,3,1,1,1,1,1,27,1,2
"1657",3,3,3,6,6,3,1,1,1,1,1,27,1,2
"1658",3,4,4,6,6,3,1,1,1,1,1,27,1,2
"1659",5,3,5,6,6,3,1,1,1,1,1,27,1,2
"1660",6,6,3,6,6,3,1,1,1,1,1,27,1,2
"1661",1,1,1,3,4,4,5,6,5,6,5,5,2,2
"1662",2,2,2,3,4,4,5,6,5,6,5,5,2,2
"1663",3,3,3,3,4,4,5,6,5,6,5,5,2,2
"1664",3,4,4,3,4,4,5,6,5,6,5,5,2,2
"1665",1,1,1,4,2,4,1,1,1,27,1,1,3,2
"1666",2,2,2,4,2,4,1,1,1,27,1,1,3,2
"1667",2,3,3,4,2,4,1,1,1,27,1,1,3,2
"1668",4,2,4,4,2,4,1,1,1,27,1,1,3,2
"1669",1,1,1,3,4,5,5,6,5,5,6,5,4,2
"1670",2,2,2,3,4,5,5,6,5,5,6,5,4,2
"1671",3,3,3,3,4,5,5,6,5,5,6,5,4,2
"1672",3,4,4,3,4,5,5,6,5,5,6,5,4,2
"1673",3,4,5,3,4,5,5,6,5,5,6,5,4,2
"1674",1,1,1,1,1,5,27,1,1,1,1,1,5,2
"1675",1,1,2,1,1,5,27,1,1,1,1,1,5,2
"1676",1,3,1,1,1,5,27,1,1,1,1,1,5,2
"1677",1,4,2,1,1,5,27,1,1,1,1,1,5,2
"1678",1,5,1,1,1,5,27,1,1,1,1,1,5,2
"1679",1,1,6,1,1,5,27,1,1,1,1,1,5,2
"1680",1,1,5,1,1,5,27,1,1,1,1,1,5,2
"1681",1,1,1,6,4,5,4,1,1,4,1,21,6,2
"1682",2,2,2,6,4,5,4,1,1,4,1,21,6,2
"1683",3,3,3,6,4,5,4,1,1,4,1,21,6,2
"1684",4,4,4,6,4,5,4,1,1,4,1,21,6,2
"1685",4,5,5,6,4,5,4,1,1,4,1,21,6,2
"1686",4,6,5,6,4,5,4,1,1,4,1,21,6,2
"1687",4,5,6,6,4,5,4,1,1,4,1,21,6,2
"1688",5,4,6,6,4,5,4,1,1,4,1,21,6,2
"1689",4,6,5,6,4,5,4,1,1,4,1,21,6,2
"1690",6,4,5,6,4,5,4,1,1,4,1,21,6,2
"1691",1,1,1,2,4,4,1,4,1,21,4,1,7,2
"1692",2,2,2,2,4,4,1,4,1,21,4,1,7,2
"1693",2,3,3,2,4,4,1,4,1,21,4,1,7,2
"1694",2,4,4,2,4,4,1,4,1,21,4,1,7,2
"1695",1,1,1,1,2,5,5,15,5,1,5,1,8,2
"1696",1,2,2,1,2,5,5,15,5,1,5,1,8,2
"1697",1,2,3,1,2,5,5,15,5,1,5,1,8,2
"1698",1,2,4,1,2,5,5,15,5,1,5,1,8,2
"1699",1,2,5,1,2,5,5,15,5,1,5,1,8,2
"1700",1,1,1,1,2,2,5,15,5,1,5,1,9,2
"1701",1,2,2,1,2,2,5,15,5,1,5,1,9,2
"1702",1,1,1,4,1,6,5,5,5,6,6,5,10,2
"1703",1,2,2,4,1,6,5,5,5,6,6,5,10,2
"1704",3,1,3,4,1,6,5,5,5,6,6,5,10,2
"1705",4,1,4,4,1,6,5,5,5,6,6,5,10,2
"1706",4,1,3,4,1,6,5,5,5,6,6,5,10,2
"1707",4,1,5,4,1,6,5,5,5,6,6,5,10,2
"1708",4,1,6,4,1,6,5,5,5,6,6,5,10,2
"1709",1,1,1,2,2,2,1,27,1,1,1,1,11,2
"1710",2,2,2,2,2,2,1,27,1,1,1,1,11,2
"1711",1,1,1,4,5,5,1,5,5,1,15,5,12,2
"1712",2,2,2,4,5,5,1,5,5,1,15,5,12,2
"1713",3,3,3,4,5,5,1,5,5,1,15,5,12,2
"1714",4,4,4,4,5,5,1,5,5,1,15,5,12,2
"1715",4,5,5,4,5,5,1,5,5,1,15,5,12,2
"1716",1,1,1,1,6,2,5,5,5,6,5,6,13,2
"1717",1,2,2,1,6,2,5,5,5,6,5,6,13,2
"1718",1,2,3,1,6,2,5,5,5,6,5,6,13,2
"1719",1,4,2,1,6,2,5,5,5,6,5,6,13,2
"1720",1,5,2,1,6,2,5,5,5,6,5,6,13,2
"1721",1,6,2,1,6,2,5,5,5,6,5,6,13,2
"1722",1,1,1,2,2,1,6,5,5,6,5,5,14,2
"1723",1,2,2,2,2,1,6,5,5,6,5,5,14,2
"1724",2,1,2,2,2,1,6,5,5,6,5,5,14,2
"1725",2,2,1,2,2,1,6,5,5,6,5,5,14,2
"1726",1,1,1,2,2,1,4,21,1,1,1,4,15,2
"1727",1,2,2,2,2,1,4,21,1,1,1,4,15,2
"1728",2,1,2,2,2,1,4,21,1,1,1,4,15,2
"1729",2,2,1,2,2,1,4,21,1,1,1,4,15,2
"1730",1,1,1,5,2,5,1,1,1,1,27,1,16,2
"1731",2,2,2,5,2,5,1,1,1,1,27,1,16,2
"1732",2,3,3,5,2,5,1,1,1,1,27,1,16,2
"1733",4,2,4,5,2,5,1,1,1,1,27,1,16,2
"1734",5,2,5,5,2,5,1,1,1,1,27,1,16,2
"1735",1,1,1,6,6,6,1,1,1,1,1,27,17,2
"1736",2,2,2,6,6,6,1,1,1,1,1,27,17,2
"1737",6,6,6,6,6,6,1,1,1,1,1,27,17,2
"1738",1,1,1,6,4,1,5,1,5,5,1,15,18,2
"1739",1,2,2,6,4,1,5,1,5,5,1,15,18,2
"1740",3,1,3,6,4,1,5,1,5,5,1,15,18,2
"1741",4,4,1,6,4,1,5,1,5,5,1,15,18,2
"1742",4,5,1,6,4,1,5,1,5,5,1,15,18,2
"1743",6,4,1,6,4,1,5,1,5,5,1,15,18,2
"1744",2,2,2,2,2,1,1,27,1,1,1,1,19,2
"1745",2,2,1,2,2,1,1,27,1,1,1,1,19,2
"1746",5,5,5,5,5,5,1,4,1,4,21,1,20,2
"1747",1,3,3,1,3,4,1,1,21,4,4,1,21,2
"1748",1,3,2,1,3,4,1,1,21,4,4,1,21,2
"1749",1,3,3,1,3,4,1,1,21,4,4,1,21,2
"1750",1,3,4,1,3,4,1,1,21,4,4,1,21,2
"1751",5,5,5,6,5,5,1,1,4,1,21,4,22,2
"1752",5,5,1,6,5,5,1,1,4,1,21,4,22,2
"1753",5,6,5,6,5,5,1,1,4,1,21,4,22,2
"1754",6,5,5,6,5,5,1,1,4,1,21,4,22,2
"1755",1,1,1,1,1,1,27,1,1,1,1,1,23,2
"1756",1,1,1,1,2,5,5,15,1,1,5,5,24,2
"1757",1,2,2,1,2,5,5,15,1,1,5,5,24,2
"1758",1,2,3,1,2,5,5,15,1,1,5,5,24,2
"1759",1,2,3,1,2,5,5,15,1,1,5,5,24,2
"1760",1,2,4,1,2,5,5,15,1,1,5,5,24,2
"1761",1,2,5,1,2,5,5,15,1,1,5,5,24,2
"1762",1,1,1,6,6,6,1,5,5,1,5,15,25,2
"1763",2,2,2,6,6,6,1,5,5,1,5,15,25,2
"1764",3,3,3,6,6,6,1,5,5,1,5,15,25,2
"1765",5,5,5,6,6,6,1,5,5,1,5,15,25,2
"1766",6,6,6,6,6,6,1,5,5,1,5,15,25,2
"1767",2,2,2,2,2,2,4,21,1,4,1,1,26,2
"1768",1,1,1,3,3,1,15,1,5,5,5,1,27,2
"1769",1,2,2,3,3,1,15,1,5,5,5,1,27,2
"1770",3,1,3,3,3,1,15,1,5,5,5,1,27,2
"1771",3,3,1,3,3,1,15,1,5,5,5,1,27,2
"1772",3,3,3,3,3,3,4,1,21,1,1,4,28,2
"1773",1,1,1,5,6,4,5,5,6,6,5,5,29,2
"1774",2,2,2,5,6,4,5,5,6,6,5,5,29,2
"1775",3,3,3,5,6,4,5,5,6,6,5,5,29,2
"1776",4,4,4,5,6,4,5,5,6,6,5,5,29,2
"1777",4,5,5,5,6,4,5,5,6,6,5,5,29,2
"1778",5,4,6,5,6,4,5,5,6,6,5,5,29,2
"1779",5,6,4,5,6,4,5,5,6,6,5,5,29,2
"1780",1,1,1,5,4,6,5,1,1,5,5,15,30,2
"1781",2,2,2,5,4,6,5,1,1,5,5,15,30,2
"1782",3,3,3,5,4,6,5,1,1,5,5,15,30,2
"1783",4,4,4,5,4,6,5,1,1,5,5,15,30,2
"1784",4,5,5,5,4,6,5,1,1,5,5,15,30,2
"1785",5,4,6,5,4,6,5,1,1,5,5,15,30,2
"1786",1,1,1,6,1,1,5,1,1,5,5,15,31,2
"1787",1,1,2,6,1,1,5,1,1,5,5,15,31,2
"1788",1,3,1,6,1,1,5,1,1,5,5,15,31,2
"1789",4,1,1,6,1,1,5,1,1,5,5,15,31,2
"1790",5,1,1,6,1,1,5,1,1,5,5,15,31,2
"1791",5,1,1,6,1,1,5,1,1,5,5,15,31,2
"1792",6,1,1,6,1,1,5,1,1,5,5,15,31,2
"1793",2,2,2,2,2,2,1,27,1,1,1,1,32,2
"1794",1,1,1,3,6,4,5,6,5,5,5,6,33,2
"1795",2,2,2,3,6,4,5,6,5,5,5,6,33,2
"1796",3,3,3,3,6,4,5,6,5,5,5,6,33,2
"1797",3,4,4,3,6,4,5,6,5,5,5,6,33,2
"1798",3,4,5,3,6,4,5,6,5,5,5,6,33,2
"1799",3,6,4,3,6,4,5,6,5,5,5,6,33,2
"1800",2,2,2,2,2,2,1,27,1,1,1,1,34,2
"1801",1,1,1,5,5,6,6,5,6,5,5,5,35,2
"1802",2,2,2,5,5,6,6,5,6,5,5,5,35,2
"1803",3,3,3,5,5,6,6,5,6,5,5,5,35,2
"1804",4,4,4,5,5,6,6,5,6,5,5,5,35,2
"1805",5,5,4,5,5,6,6,5,6,5,5,5,35,2
"1806",5,5,5,5,5,6,6,5,6,5,5,5,35,2
"1807",5,5,6,5,5,6,6,5,6,5,5,5,35,2
"1808",2,2,2,2,4,2,1,15,5,5,5,1,36,2
"1809",2,2,1,2,4,2,1,15,5,5,5,1,36,2
"1810",2,4,2,2,4,2,1,15,5,5,5,1,36,2
"1811",1,1,1,1,1,1,27,1,1,1,1,1,37,2
"1812",1,1,1,1,2,1,21,1,4,4,1,1,38,2
"1813",1,1,2,1,2,1,21,1,4,4,1,1,38,2
"1814",1,3,1,1,2,1,21,1,4,4,1,1,38,2
"1815",1,1,2,1,2,1,21,1,4,4,1,1,38,2
"1816",2,1,1,1,2,1,21,1,4,4,1,1,38,2
"1817",1,2,1,1,2,1,21,1,4,4,1,1,38,2
"1818",1,1,1,6,5,5,6,6,5,5,5,5,39,2
"1819",2,2,2,6,5,5,6,6,5,5,5,5,39,2
"1820",3,3,3,6,5,5,6,6,5,5,5,5,39,2
"1821",4,4,4,6,5,5,6,6,5,5,5,5,39,2
"1822",5,5,5,6,5,5,6,6,5,5,5,5,39,2
"1823",5,5,6,6,5,5,6,6,5,5,5,5,39,2
"1824",5,6,5,6,5,5,6,6,5,5,5,5,39,2
"1825",6,5,5,6,5,5,6,6,5,5,5,5,39,2
"1826",1,1,1,6,1,1,5,6,5,6,5,5,40,2
"1827",1,1,2,6,1,1,5,6,5,6,5,5,40,2
"1828",1,3,1,6,1,1,5,6,5,6,5,5,40,2
"1829",4,1,1,6,1,1,5,6,5,6,5,5,40,2
"1830",6,1,1,6,1,1,5,6,5,6,5,5,40,2
"1831",1,1,1,1,4,1,21,1,1,4,1,4,41,2
"1832",1,1,2,1,4,1,21,1,1,4,1,4,41,2
"1833",1,3,1,1,4,1,21,1,1,4,1,4,41,2
"1834",1,4,1,1,4,1,21,1,1,4,1,4,41,2
"1835",1,1,1,5,4,4,6,5,5,5,5,6,42,2
"1836",2,2,2,5,4,4,6,5,5,5,5,6,42,2
"1837",3,3,3,5,4,4,6,5,5,5,5,6,42,2
"1838",4,4,4,5,4,4,6,5,5,5,5,6,42,2
"1839",4,4,5,5,4,4,6,5,5,5,5,6,42,2
"1840",5,4,4,5,4,4,6,5,5,5,5,6,42,2
"1841",1,1,1,5,3,3,15,1,5,1,5,5,43,2
"1842",2,2,2,5,3,3,15,1,5,1,5,5,43,2
"1843",3,3,3,5,3,3,15,1,5,1,5,5,43,2
"1844",3,3,4,5,3,3,15,1,5,1,5,5,43,2
"1845",3,5,3,5,3,3,15,1,5,1,5,5,43,2
"1846",5,3,3,5,3,3,15,1,5,1,5,5,43,2
"1847",5,5,5,3,5,5,1,4,4,1,21,1,44,2
"1848",5,5,1,3,5,5,1,4,4,1,21,1,44,2
"1849",5,2,5,3,5,5,1,4,4,1,21,1,44,2
"1850",3,5,5,3,5,5,1,4,4,1,21,1,44,2
"1851",1,1,1,4,1,1,6,6,5,5,5,5,45,2
"1852",1,1,2,4,1,1,6,6,5,5,5,5,45,2
"1853",1,3,1,4,1,1,6,6,5,5,5,5,45,2
"1854",4,1,1,4,1,1,6,6,5,5,5,5,45,2
"1855",4,4,4,4,4,4,1,1,1,27,1,1,46,2
"1856",1,1,1,2,6,1,5,5,6,5,5,6,47,2
"1857",1,2,2,2,6,1,5,5,6,5,5,6,47,2
"1858",2,1,3,2,6,1,5,5,6,5,5,6,47,2
"1859",2,4,1,2,6,1,5,5,6,5,5,6,47,2
"1860",2,5,1,2,6,1,5,5,6,5,5,6,47,2
"1861",2,6,1,2,6,1,5,5,6,5,5,6,47,2
"1862",1,1,1,5,6,6,5,1,5,1,5,15,48,2
"1863",6,6,6,5,6,6,5,1,5,1,5,15,48,2
"1864",6,6,2,5,6,6,5,1,5,1,5,15,48,2
"1865",6,4,6,5,6,6,5,1,5,1,5,15,48,2
"1866",5,6,6,5,6,6,5,1,5,1,5,15,48,2
"1867",2,2,2,6,5,6,1,5,1,5,5,15,49,2
"1868",1,1,1,6,5,6,1,5,1,5,5,15,49,2
"1869",3,3,3,6,5,6,1,5,1,5,5,15,49,2
"1870",4,4,4,6,5,6,1,5,1,5,5,15,49,2
"1871",5,5,5,6,5,6,1,5,1,5,5,15,49,2
"1872",5,6,6,6,5,6,1,5,1,5,5,15,49,2
"1873",6,5,5,6,5,6,1,5,1,5,5,15,49,2
"1874",6,6,5,6,5,6,1,5,1,5,5,15,49,2
"1875",5,6,5,6,5,6,1,5,1,5,5,15,49,2
"1876",6,5,6,6,5,6,1,5,1,5,5,15,49,2
"2119",3,2,2,4,4,5,5,5,1,15,1,5,1,3
"2120",1,4,5,4,4,5,5,5,1,15,1,5,1,3
"2121",1,5,6,4,4,5,5,5,1,15,1,5,1,3
"2122",1,4,6,4,4,5,5,5,1,15,1,5,1,3
"2123",4,4,1,4,4,5,5,5,1,15,1,5,1,3
"2124",4,5,4,4,4,5,5,5,1,15,1,5,1,3
"2125",4,4,5,4,4,5,5,5,1,15,1,5,1,3
"2126",1,2,3,2,2,1,6,5,5,5,5,6,2,3
"2127",1,2,4,2,2,1,6,5,5,5,5,6,2,3
"2128",1,2,5,2,2,1,6,5,5,5,5,6,2,3
"2129",1,2,6,2,2,1,6,5,5,5,5,6,2,3
"2130",1,1,2,2,2,1,6,5,5,5,5,6,2,3
"2131",1,1,3,2,2,1,6,5,5,5,5,6,2,3
"2132",2,2,3,2,2,1,6,5,5,5,5,6,2,3
"2133",2,2,4,2,2,1,6,5,5,5,5,6,2,3
"2134",2,2,5,2,2,1,6,5,5,5,5,6,2,3
"2135",2,2,6,2,2,1,6,5,5,5,5,6,2,3
"2136",2,2,2,2,2,1,6,5,5,5,5,6,2,3
"2137",2,2,1,2,2,1,6,5,5,5,5,6,2,3
"2138",1,2,3,2,6,5,1,15,1,5,5,5,3,3
"2139",4,5,6,2,6,5,1,15,1,5,5,5,3,3
"2140",4,2,6,2,6,5,1,15,1,5,5,5,3,3
"2141",4,2,2,2,6,5,1,15,1,5,5,5,3,3
"2142",2,2,2,2,6,5,1,15,1,5,5,5,3,3
"2143",4,4,4,2,6,5,1,15,1,5,5,5,3,3
"2144",2,6,5,2,6,5,1,15,1,5,5,5,3,3
"2145",3,2,1,2,6,2,1,21,4,1,1,4,4,3
"2146",4,5,6,2,6,2,1,21,4,1,1,4,4,3
"2147",1,1,4,2,6,2,1,21,4,1,1,4,4,3
"2148",3,3,5,2,6,2,1,21,4,1,1,4,4,3
"2149",2,2,6,2,6,2,1,21,4,1,1,4,4,3
"2150",6,2,2,2,6,2,1,21,4,1,1,4,4,3
"2151",2,6,2,2,6,2,1,21,4,1,1,4,4,3
"2152",4,4,4,4,4,2,1,1,1,27,1,1,5,3
"2153",4,1,4,4,4,2,1,1,1,27,1,1,5,3
"2154",4,4,2,4,4,2,1,1,1,27,1,1,5,3
"2155",3,3,1,2,3,3,4,4,21,1,1,1,6,3
"2156",3,3,2,2,3,3,4,4,21,1,1,1,6,3
"2157",3,2,3,2,3,3,4,4,21,1,1,1,6,3
"2158",2,3,3,2,3,3,4,4,21,1,1,1,6,3
"2159",2,1,3,6,1,1,5,5,5,5,6,6,7,3
"2160",4,5,6,6,1,1,5,5,5,5,6,6,7,3
"2161",1,1,6,6,1,1,5,5,5,5,6,6,7,3
"2162",6,1,1,6,1,1,5,5,5,5,6,6,7,3
"2163",3,2,1,1,4,1,5,5,5,6,5,6,8,3
"2164",4,5,6,1,4,1,5,5,5,6,5,6,8,3
"2165",1,5,1,1,4,1,5,5,5,6,5,6,8,3
"2166",1,4,1,1,4,1,5,5,5,6,5,6,8,3
"2167",2,2,4,4,2,5,5,15,5,5,1,1,9,3
"2168",2,1,2,4,2,5,5,15,5,5,1,1,9,3
"2169",1,2,3,4,2,5,5,15,5,5,1,1,9,3
"2170",5,2,4,4,2,5,5,15,5,5,1,1,9,3
"2171",4,2,5,4,2,5,5,15,5,5,1,1,9,3
"2172",1,2,3,3,3,1,5,5,15,5,1,1,10,3
"2173",3,4,5,3,3,1,5,5,15,5,1,1,10,3
"2174",3,1,6,3,3,1,5,5,15,5,1,1,10,3
"2175",3,3,1,3,3,1,5,5,15,5,1,1,10,3
"2176",1,2,3,2,2,5,4,21,1,1,4,1,11,3
"2177",4,2,5,2,2,5,4,21,1,1,4,1,11,3
"2178",4,2,1,2,2,5,4,21,1,1,4,1,11,3
"2179",6,2,5,2,2,5,4,21,1,1,4,1,11,3
"2180",3,2,5,2,2,5,4,21,1,1,4,1,11,3
"2181",2,2,5,2,2,5,4,21,1,1,4,1,11,3
"635",5,1,2,5,5,5,1,1,1,1,27,1,1,4
"636",5,5,3,5,5,5,1,1,1,1,27,1,1,4
"637",5,5,5,5,5,5,1,1,1,1,27,1,1,4
"638",6,1,5,6,5,1,5,1,5,1,5,15,2,4
"639",5,1,6,6,5,1,5,1,5,1,5,15,2,4
"640",6,5,1,6,5,1,5,1,5,1,5,15,2,4
"641",1,3,1,3,1,1,15,1,5,1,5,5,3,4
"642",3,1,1,3,1,1,15,1,5,1,5,5,3,4
"643",1,1,1,1,3,1,21,1,4,4,1,1,4,4
"644",1,1,3,1,3,1,21,1,4,4,1,1,4,4
"645",1,3,1,1,3,1,21,1,4,4,1,1,4,4
"646",1,5,1,5,5,5,6,5,5,5,6,5,5,4
"647",1,4,6,5,5,5,6,5,5,5,6,5,5,4
"648",5,5,2,5,5,5,6,5,5,5,6,5,5,4
"649",2,5,2,5,5,5,6,5,5,5,6,5,5,4
"650",5,5,5,5,5,5,6,5,5,5,6,5,5,4
"651",3,3,3,3,3,4,1,1,21,4,1,4,6,4
"652",3,3,6,3,3,4,1,1,21,4,1,4,6,4
"653",3,3,4,3,3,4,1,1,21,4,1,4,6,4
"654",1,1,1,1,1,5,27,1,1,1,1,1,7,4
"655",1,1,3,1,1,5,27,1,1,1,1,1,7,4
"656",1,1,2,1,1,5,27,1,1,1,1,1,7,4
"657",1,1,4,1,1,5,27,1,1,1,1,1,7,4
"658",1,1,5,1,1,5,27,1,1,1,1,1,7,4
"659",5,5,5,1,6,5,1,1,1,1,27,1,8,4
